"as","rwa","year","yearnum","season","seasonnum","time","timenr","stratum","eff","temp","hist","neighb","soil","catch","effort","cpue"
236,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.423076923076923,0,"sand",0,0,0
237,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.382352941176471,0,"sand",0,0,0
246,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0,0.218181818181818,"water",0,0,0
253,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0,0.0696517412935323,"water",0,21,0
254,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0217391304347826,0.0710382513661202,"water",0,6,0
255,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0561797752808989,0.124610591900312,"water",2,29,0.0689655172413793
256,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.195488721804511,0.237885462555066,"water",9,48,0.1875
257,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.325153374233129,0.510166358595194,"sand",13,33,0.393939393939394
258,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.310344827586207,0.976076555023923,"water",9,29,0.310344827586207
343,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0,0.554039874081847,"water",2,5,0.4
344,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.115384615384615,0.648233486943165,"water",7,6,1.16666666666667
345,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.315789473684211,0.707182320441989,"loam",22,42,0.523809523809524
346,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.39,0.52794292508918,"loam",20,38,0.526315789473684
347,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.226415094339623,0.317757009345794,"water",2,16,0.125
351,"Waterschap Noorderzijlvest","2013",2013,"winter",1,-1.60352682140039,1,"low","control","year-round",0.344444444444444,0.966233766233766,"loam",21,38.5,0.545454545454545
352,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.212290502793296,0.752613240418119,"loam",11,37,0.297297297297297
353,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.404432132963989,1.015313225058,"loam",30,93,0.32258064516129
354,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.532091097308489,0.913570590535784,"loam",84,102.25,0.821515892420538
355,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.247524752475248,0.92836676217765,"loam",73,83.25,0.876876876876877
356,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.178571428571429,0.511740890688259,"loam",8,42,0.19047619047619
